Parameters: 6556928
step=0 train_loss=6.9868 val_loss=6.8747
step=100 train_loss=5.5037 val_loss=5.4856
step=200 train_loss=4.5709 val_loss=4.6989
step=300 train_loss=4.1567 val_loss=4.4061
step=400 train_loss=3.8348 val_loss=4.1566
step=500 train_loss=3.4789 val_loss=3.9641
step=600 train_loss=3.4257 val_loss=3.9347
step=700 train_loss=3.2379 val_loss=3.9337
step=800 train_loss=3.2146 val_loss=3.8589
step=900 train_loss=3.0483 val_loss=3.8465
step=1000 train_loss=2.9782 val_loss=3.8721
step=1100 train_loss=2.8453 val_loss=3.8773
step=1200 train_loss=2.8159 val_loss=3.9344
step=1300 train_loss=2.7339 val_loss=3.9879
step=1400 train_loss=2.6231 val_loss=4.0096
step=1500 train_loss=2.4291 val_loss=4.0310
step=1600 train_loss=2.3429 val_loss=4.1024
step=1700 train_loss=2.2870 val_loss=4.1884
step=1800 train_loss=2.1907 val_loss=4.1940
step=1900 train_loss=2.1069 val_loss=4.2592
step=2000 train_loss=1.9408 val_loss=4.2737
step=2100 train_loss=1.9556 val_loss=4.4188
step=2200 train_loss=1.8525 val_loss=4.3931
step=2300 train_loss=1.7847 val_loss=4.5123
step=2400 train_loss=1.7179 val_loss=4.5716
step=2500 train_loss=1.5662 val_loss=4.5735
step=2600 train_loss=1.5333 val_loss=4.7477
step=2700 train_loss=1.5241 val_loss=4.7588
step=2800 train_loss=1.3563 val_loss=4.7387
step=2900 train_loss=1.4081 val_loss=4.8704
step=3000 train_loss=1.4092 val_loss=4.9466
step=3100 train_loss=1.2870 val_loss=4.9710
step=3200 train_loss=1.2541 val_loss=5.0119
step=3300 train_loss=1.1627 val_loss=5.0529
step=3400 train_loss=1.1533 val_loss=5.1516
step=3500 train_loss=0.9911 val_loss=5.2358
step=3600 train_loss=0.9950 val_loss=5.3025
step=3700 train_loss=0.9718 val_loss=5.3321
step=3800 train_loss=0.9126 val_loss=5.3909
step=3900 train_loss=0.9034 val_loss=5.4139
step=4000 train_loss=0.7845 val_loss=5.4622
step=4100 train_loss=0.8512 val_loss=5.5064
step=4200 train_loss=0.7680 val_loss=5.6629
step=4300 train_loss=0.7608 val_loss=5.7243
step=4400 train_loss=0.7650 val_loss=5.7500
step=4500 train_loss=0.6799 val_loss=5.7286
step=4600 train_loss=0.7423 val_loss=5.8219
step=4700 train_loss=0.7141 val_loss=5.8492
step=4800 train_loss=0.6784 val_loss=5.9225
step=4900 train_loss=0.6343 val_loss=5.9840
step=5000 train_loss=0.6149 val_loss=6.0581
step=5100 train_loss=0.6337 val_loss=6.0685
step=5200 train_loss=0.5944 val_loss=6.1183
step=5300 train_loss=0.5873 val_loss=6.1919
step=5400 train_loss=0.5947 val_loss=6.2043
step=5500 train_loss=0.5759 val_loss=6.3039
step=5600 train_loss=0.5336 val_loss=6.2730
step=5700 train_loss=0.5128 val_loss=6.3400
step=5800 train_loss=0.5113 val_loss=6.3711
step=5900 train_loss=0.5031 val_loss=6.4085
step=6000 train_loss=0.4860 val_loss=6.4650
step=6100 train_loss=0.4950 val_loss=6.4928
step=6200 train_loss=0.4752 val_loss=6.4947
step=6300 train_loss=0.5084 val_loss=6.5774
step=6400 train_loss=0.4696 val_loss=6.5886
step=6500 train_loss=0.4677 val_loss=6.6100
step=6600 train_loss=0.4543 val_loss=6.6506
step=6700 train_loss=0.4763 val_loss=6.6803
step=6800 train_loss=0.4722 val_loss=6.7382
step=6900 train_loss=0.4969 val_loss=6.9020
step=7000 train_loss=0.4833 val_loss=6.8270
step=7100 train_loss=0.4493 val_loss=6.8791
step=7200 train_loss=0.4452 val_loss=6.9058
step=7300 train_loss=0.4215 val_loss=6.8323
step=7400 train_loss=0.4371 val_loss=6.9586
step=7500 train_loss=0.4323 val_loss=7.0021
step=7600 train_loss=0.4304 val_loss=6.9852
step=7700 train_loss=0.3772 val_loss=6.9958
step=7800 train_loss=0.3752 val_loss=7.0486
step=7900 train_loss=0.3690 val_loss=7.0398
step=8000 train_loss=0.3820 val_loss=7.1616
step=8100 train_loss=0.4067 val_loss=7.1087
step=8200 train_loss=0.3977 val_loss=7.0515
step=8300 train_loss=0.4067 val_loss=7.1528
step=8400 train_loss=0.3643 val_loss=7.1014
step=8500 train_loss=0.4348 val_loss=7.2458
step=8600 train_loss=0.3457 val_loss=7.2206
step=8700 train_loss=0.3627 val_loss=7.1938
step=8800 train_loss=0.3818 val_loss=7.3026
step=8900 train_loss=0.3494 val_loss=7.3167
step=9000 train_loss=0.3355 val_loss=7.3431
step=9100 train_loss=0.3709 val_loss=7.2941
step=9200 train_loss=0.3762 val_loss=7.2987
step=9300 train_loss=0.3344 val_loss=7.4400
step=9400 train_loss=0.3065 val_loss=7.3862
step=9500 train_loss=0.3629 val_loss=7.4904
step=9600 train_loss=0.3637 val_loss=7.4870
step=9700 train_loss=0.3162 val_loss=7.5028
step=9800 train_loss=0.3480 val_loss=7.5139
step=9900 train_loss=0.3338 val_loss=7.5401
